feature,coefficient,abs_coefficient
log_sqft_above,0.0614173529580927,0.0614173529580927
city_count,0.04874306099145394,0.04874306099145394
zip_enc_sq,0.03945807916783057,0.03945807916783057
knn_median,0.039336508068864906,0.039336508068864906
zip_enc,0.03910178447675781,0.03910178447675781
spl_log_sqft_living_5,0.03643669619686224,0.03643669619686224
zip_city_diff,0.0358121745006416,0.0358121745006416
knn_weighted_mean,0.033005980705634784,0.033005980705634784
basement_frac,-0.03165660885842414,0.03165660885842414
knn_broad_weighted,0.028743504197942894,0.028743504197942894
spl_city_enc_1,-0.027943739611186486,0.027943739611186486
zip_x_sqft,0.02770019255844818,0.02770019255844818
log_zip_count,0.02642102529181795,0.02642102529181795
spl_zip_enc_6,0.0252237482599491,0.0252237482599491
log_city_count,0.02436673024483706,0.02436673024483706
spl_zip_enc_1,-0.02288141667932638,0.02288141667932638
log_living_sq,0.022788232096455977,0.022788232096455977
city_x_sqft,0.022361791645892266,0.022361791645892266
log_sqft_living,0.02219182394699677,0.02219182394699677
spl_zip_enc_2,-0.021905640054414165,0.021905640054414165
spl_city_enc_3,0.02003499310646949,0.02003499310646949
spl_log_sqft_living_3,-0.020022215563723307,0.020022215563723307
knn_min,-0.019162591904712773,0.019162591904712773
wf_x_view,0.019090810418845763,0.019090810418845763
knn_p25,0.018498347196409717,0.018498347196409717
has_basement,0.017514395240787545,0.017514395240787545
spl_zip_enc_4,0.01725465967303748,0.01725465967303748
very_old,0.01718467406989765,0.01718467406989765
floors,-0.016371040985983652,0.016371040985983652
bath_sq,-0.01582126273546309,0.01582126273546309
knn_p75,0.01580829286670034,0.01580829286670034
knn_broad_mean,0.015293020042381485,0.015293020042381485
knn_mean,0.014522273342275464,0.014522273342275464
log_living_x_floors,-0.014384978530571739,0.014384978530571739
city_enc,0.014351204622738912,0.014351204622738912
city_enc_sq,0.014293637115598898,0.014293637115598898
sqft_per_room,0.014290759490676434,0.014290759490676434
cond_x_view,0.014040176813615426,0.014040176813615426
large_lot,0.014028030821616275,0.014028030821616275
spl_log_sqft_living_6,0.013765352180914668,0.013765352180914668
basement_x_age,0.01369802549015128,0.01369802549015128
spl_zip_enc_3,-0.012995895709014434,0.012995895709014434
spl_log_sqft_living_2,-0.012993972083572341,0.012993972083572341
spl_log_sqft_living_0,0.012948307138822793,0.012948307138822793
zip_count,-0.01292158938039049,0.01292158938039049
spl_log_sqft_lot_1,-0.012749141632049503,0.012749141632049503
floors_x_cond,0.012252360629529703,0.012252360629529703
knn_max,-0.012203505967817121,0.012203505967817121
log_sqft_per_room,-0.011778964358229213,0.011778964358229213
spl_city_enc_4,-0.011122816102012597,0.011122816102012597
spl_house_age_4,-0.010387929002910344,0.010387929002910344
bathrooms,0.010088386347019546,0.010088386347019546
log_living_x_wf,0.010076731654920004,0.010076731654920004
spl_log_sqft_living_4,0.009905995466476036,0.009905995466476036
spl_city_enc_5,0.009776700494317688,0.009776700494317688
log_living_x_cond,0.009721093091616135,0.009721093091616135
spl_zip_enc_0,0.009719013330597936,0.009719013330597936
log_living_x_bath,0.009671807637736543,0.009671807637736543
log_effective_age,-0.009670814234839483,0.009670814234839483
spl_log_sqft_lot_3,0.009519730562989309,0.009519730562989309
log_living_x_bed_bath,-0.009168626185978522,0.009168626185978522
view_x_zip,0.009137590653456635,0.009137590653456635
spl_zip_enc_5,-0.00900349279066483,0.00900349279066483
view,0.008968767333243907,0.008968767333243907
knn_mean_dist,-0.008910703071902637,0.008910703071902637
cluster_1,0.008848559875931377,0.008848559875931377
bed_bath_ratio,-0.008803414540846367,0.008803414540846367
low_condition,-0.008398859735814803,0.008398859735814803
log_living_x_age,0.00828454965730883,0.00828454965730883
spl_house_age_1,0.008234757615830824,0.008234757615830824
cluster_2,-0.008228883427602616,0.008228883427602616
few_bedrooms,-0.007941987797766038,0.007941987797766038
knn_std,-0.007925036424642616,0.007925036424642616
log_living_x_view,0.007880898091453009,0.007880898091453009
log_living_x_basement,0.007782202844663193,0.007782202844663193
spl_effective_age_5,-0.0077410184497148215,0.0077410184497148215
spl_house_age_5,-0.007732169556060903,0.007732169556060903
large_house,0.007638137323117577,0.007638137323117577
view_sq,-0.0076304130839602025,0.0076304130839602025
spl_effective_age_3,-0.007551165185863158,0.007551165185863158
small_house,-0.007089112196890525,0.007089112196890525
spl_house_age_0,0.006335919428724217,0.006335919428724217
cluster_0,-0.006309399097691967,0.006309399097691967
sale_sin_month,-0.006068186681181433,0.006068186681181433
spl_effective_age_4,0.005986489725987151,0.005986489725987151
spl_effective_age_1,0.005889338623648748,0.005889338623648748
bedrooms,-0.005799543030095807,0.005799543030095807
house_age,-0.005587633351657455,0.005587633351657455
zip_x_cond,0.005576910286561881,0.005576910286561881
cluster_6,0.005568568366054265,0.005568568366054265
age_x_reno,0.005412510817869361,0.005412510817869361
knn_iqr,-0.004889533371671196,0.004889533371671196
spl_log_sqft_lot_4,-0.004881571419479485,0.004881571419479485
spl_log_sqft_lot_2,0.004770326056403486,0.004770326056403486
spl_log_sqft_living_1,-0.00472860882440329,0.00472860882440329
zip_std,0.004629114614389684,0.004629114614389684
log_sqft_basement,-0.0038123456921408568,0.0038123456921408568
spl_effective_age_0,-0.0036432123508286698,0.0036432123508286698
condition_sq,0.003338366227471113,0.003338366227471113
age_x_cond,0.0032308605587389344,0.0032308605587389344
age_decade,-0.0030295074777701367,0.0030295074777701367
cluster_dist,0.002702520242951914,0.002702520242951914
spl_log_sqft_lot_5,-0.002631281864891698,0.002631281864891698
sale_cos_month,-0.0026292894539645447,0.0026292894539645447
high_view,0.0026272682692505805,0.0026272682692505805
log_sqft_lot,0.002467493152687585,0.002467493152687585
spl_house_age_3,0.0021618065728906282,0.0021618065728906282
log_living_x_rooms,-0.0021553582181840928,0.0021553582181840928
log_living_to_lot,-0.0019914281727394646,0.0019914281727394646
spl_city_enc_2,0.0019866489164174117,0.0019866489164174117
high_condition,-0.0017956670474002243,0.0017956670474002243
spl_house_age_2,-0.0017418309665649659,0.0017418309665649659
total_rooms,0.001740096953998129,0.001740096953998129
modern_build,-0.0017036775065858048,0.0017036775065858048
effective_age,-0.0017007865463513614,0.0017007865463513614
condition,0.001657976809709357,0.001657976809709357
spl_effective_age_2,-0.0015822084042534815,0.0015822084042534815
new_build,-0.0015720470134839301,0.0015720470134839301
many_bedrooms,-0.0015305280759066533,0.0015305280759066533
was_renovated,-0.0014160173561596542,0.0014160173561596542
wf_x_zip,0.0013100294828626074,0.0013100294828626074
spl_log_sqft_lot_0,0.001300094082122225,0.001300094082122225
spl_city_enc_0,0.0012717433371226662,0.0012717433371226662
cluster_7,-0.00107754929036945,0.00107754929036945
log_sqft_lot_sq,0.0010165589803716386,0.0010165589803716386
log_effective_age_sq,-0.0010061808770303019,0.0010061808770303019
waterfront,0.0009439470955883417,0.0009439470955883417
knn_local_vs_broad,-0.000793005475277777,0.000793005475277777
cluster_4,0.000759032560280467,0.000759032560280467
cluster_5,0.00046344628889492665,0.00046344628889492665
cluster_3,-0.0003654241283466654,0.0003654241283466654
premium,-0.00014407446893424636,0.00014407446893424636
knn_broad_std,-0.00010417510157234702,0.00010417510157234702
living_to_lot,-2.341477311961488e-05,2.341477311961488e-05
